Ticker,Name,Actual_Date,Status,Score,Primary_Signal,Uptrend_HH_HL,Pullback_Pct,Prior_Low_Held,Channel_Coverage,Channel_Position,Recent_Lower_Touch,Room_To_Mid_Pct,Room_To_Upper_Pct,Double_Bottom,Double_Bottom_Confirmed,MA_Clustered,MA_Spread_Pct,MA_Reclaimed,MA5_Held,Bottom_Volume_Surge,Reference_Low_Held,Reference_High_Break,Reference_Volume_Ratio,D+5_Close_Return_Pct,D+10_Close_Return_Pct,D+20_Close_Return_Pct,D+40_Close_Return_Pct,D+60_Close_Return_Pct,MFE_20D_Pct,MAE_20D_Pct,MFE_60D_Pct,MAE_60D_Pct,Positive_D20,Hit_Mid_Before_Stop,Hit_PriorHigh_Before_Stop,Hit_Upper_Before_Stop,Stop_Hit,First_Event
000660,SK하이닉스,2021-01-15,REJECTED,55,CONDITIONS_INCOMPLETE,True,8.93,True,1.0,0.3471,True,2.87,12.26,False,False,False,19.65,False,False,False,False,False,,0.784,-3.922,3.922,9.804,7.451,5.882,-7.451,18.039,-7.451,1.0,,,,,
000660,SK하이닉스,2021-01-18,REJECTED,50,CONDITIONS_INCOMPLETE,True,7.14,True,1.0,0.4188,True,1.5,10.71,False,False,False,18.22,False,False,False,False,False,,3.846,-3.846,0.0,9.231,5.769,3.846,-9.231,15.769,-9.231,0.0,,,,,
000660,SK하이닉스,2021-01-19,WATCH,60,LOWER_CHANNEL_WATCH,True,6.79,True,1.0,0.4069,True,1.71,10.88,False,False,False,17.78,True,True,False,False,False,,-1.149,-0.383,-3.448,5.747,5.364,3.448,-9.579,15.326,-9.579,0.0,1.0,0.0,0.0,1.0,STOP
000660,SK하이닉스,2021-01-20,WATCH,60,LOWER_CHANNEL_WATCH,True,6.79,True,1.0,0.3742,True,2.31,11.49,False,False,False,16.8,True,True,False,False,False,,-1.533,-0.383,1.916,5.747,5.747,3.448,-9.579,15.326,-9.579,1.0,0.0,0.0,0.0,1.0,STOP
000660,SK하이닉스,2021-02-23,REJECTED,55,CONDITIONS_INCOMPLETE,True,1.07,True,1.0,0.234,True,6.75,19.44,False,False,False,7.3,True,True,False,False,False,,6.137,-3.971,-3.61,-4.332,-11.552,8.664,-5.776,8.664,-16.606,0.0,,,,,
000660,SK하이닉스,2021-02-24,WATCH,65,LOWER_CHANNEL_WATCH,True,5.23,True,1.0,0.1379,True,9.36,22.28,False,False,False,7.84,True,True,False,False,False,,4.412,0.735,-2.206,-2.206,-12.132,10.662,-4.044,10.662,-15.074,0.0,0.0,,0.0,1.0,STOP
000660,SK하이닉스,2021-02-25,REJECTED,50,CONDITIONS_INCOMPLETE,True,0.67,True,1.0,0.4686,True,0.74,12.58,False,False,False,9.66,True,True,False,False,False,,-5.724,-5.724,-9.091,-10.774,-17.172,1.347,-12.121,1.347,-22.222,0.0,,,,,
000660,SK하이닉스,2021-02-26,WATCH,65,LOWER_CHANNEL_WATCH,True,5.35,True,1.0,0.2445,True,6.35,18.77,False,False,False,10.84,True,True,False,False,False,,-4.24,-3.534,-6.714,-7.067,-13.074,6.36,-7.774,6.36,-18.375,0.0,0.0,,0.0,1.0,STOP
000660,SK하이닉스,2021-03-02,WATCH,65,LOWER_CHANNEL_WATCH,True,3.99,True,1.0,0.3049,True,4.75,16.91,False,False,False,11.18,True,True,False,False,False,,-5.536,-2.768,-6.92,-6.574,-13.149,1.73,-9.689,1.73,-20.069,0.0,0.0,,0.0,1.0,STOP
000660,SK하이닉스,2021-03-04,REJECTED,55,CONDITIONS_INCOMPLETE,True,5.65,True,1.0,0.1839,True,7.83,20.2,False,False,False,12.48,False,False,False,False,False,,-3.521,0.0,-1.056,-8.451,-10.563,2.113,-8.099,3.521,-18.662,0.0,,,,,
000660,SK하이닉스,2021-03-05,WATCH,69,LOWER_CHANNEL_WATCH,True,6.98,True,1.0,0.0004,True,22.16,44.34,False,False,False,11.11,False,False,True,True,False,1.87,0.0,-1.429,0.714,-8.571,-8.214,3.571,-6.786,5.0,-17.5,1.0,0.0,0.0,0.0,1.0,STOP
000660,SK하이닉스,2021-03-08,REJECTED,55,CONDITIONS_INCOMPLETE,True,9.97,True,0.9753,-0.0733,True,19.51,36.53,False,False,False,10.34,False,False,False,False,False,,0.738,1.845,5.535,-2.952,-7.011,7.011,-3.69,8.487,-14.76,1.0,,,,,
000660,SK하이닉스,2021-03-09,REJECTED,55,TREND_BROKEN_OR_NOT_UPTREND,True,9.3,True,0.9756,-0.078,True,19.53,36.42,False,False,False,8.86,False,False,False,False,False,,2.93,-1.099,4.762,-3.297,-5.495,7.692,-4.396,7.692,-15.385,1.0,,,,,
000660,SK하이닉스,2021-03-10,REJECTED,55,TREND_BROKEN_OR_NOT_UPTREND,True,11.63,True,0.9639,-0.1802,True,23.59,40.93,False,False,False,6.77,False,False,False,False,False,,5.263,0.376,7.895,-3.008,-3.383,10.526,-1.88,10.526,-13.158,1.0,,,,,
000660,SK하이닉스,2021-03-11,REJECTED,73,TREND_BROKEN_OR_NOT_UPTREND,True,8.97,True,0.9524,-0.1199,True,20.87,37.7,False,False,True,5.64,True,True,False,False,False,,3.65,-2.92,5.109,-5.474,-6.204,7.299,-4.745,7.299,-15.693,1.0,,,,,
000660,SK하이닉스,2021-03-12,WATCH,78,LOWER_CHANNEL_CONFIRMED_REVERSAL_WATCH,True,6.98,True,0.9677,0.3349,True,2.65,10.68,True,False,True,5.52,True,True,False,False,False,,-1.429,-3.571,0.0,-7.143,-8.929,5.0,-6.786,5.0,-17.5,0.0,0.0,0.0,0.0,1.0,STOP
000660,SK하이닉스,2021-03-15,WATCH,68,LOWER_CHANNEL_WATCH,True,9.3,True,0.9683,0.1544,True,5.69,13.93,True,False,True,5.79,False,True,False,False,False,,1.099,-3.297,0.733,-9.89,-10.256,7.692,-4.396,7.692,-15.385,1.0,0.0,0.0,0.0,1.0,STOP
000660,SK하이닉스,2021-03-16,WATCH,78,LOWER_CHANNEL_CONFIRMED_REVERSAL_WATCH,True,6.64,True,0.9688,0.3076,True,3.08,11.08,True,False,True,5.65,True,True,False,False,False,,-3.915,-4.27,-0.712,-14.947,-12.456,4.626,-7.117,4.626,-17.794,0.0,0.0,0.0,0.0,1.0,STOP
