scan_date,analyzer,ticker,name,status,score,timing_score,market,signal,pattern_type,entry_price,source_file,return_entry_date,return_entry_price_d1_open,latest_price_date,latest_close,current_return_pct,D+1_close_return_pct,D+2_close_return_pct,D+3_close_return_pct,D+4_close_return_pct,D+5_close_return_pct,D+6_close_return_pct,D+7_close_return_pct,D+8_close_return_pct,D+9_close_return_pct,D+10_close_return_pct,D+11_close_return_pct,D+12_close_return_pct,D+13_close_return_pct,D+14_close_return_pct,D+15_close_return_pct,D+16_close_return_pct,D+17_close_return_pct,D+18_close_return_pct,D+19_close_return_pct,D+20_close_return_pct,D+21_close_return_pct,D+22_close_return_pct,D+23_close_return_pct,D+24_close_return_pct,D+25_close_return_pct,D+26_close_return_pct,D+27_close_return_pct,D+28_close_return_pct,D+29_close_return_pct,D+30_close_return_pct,D+31_close_return_pct,D+32_close_return_pct,D+33_close_return_pct,D+34_close_return_pct,D+35_close_return_pct,D+36_close_return_pct,D+37_close_return_pct,D+38_close_return_pct,D+39_close_return_pct,D+40_close_return_pct,D+41_close_return_pct,D+42_close_return_pct,D+43_close_return_pct,D+44_close_return_pct,D+45_close_return_pct,D+46_close_return_pct,D+47_close_return_pct,D+48_close_return_pct,D+49_close_return_pct,D+50_close_return_pct,D+51_close_return_pct,D+52_close_return_pct,D+53_close_return_pct,D+54_close_return_pct,D+55_close_return_pct,D+56_close_return_pct,D+57_close_return_pct,D+58_close_return_pct,D+59_close_return_pct,D+60_close_return_pct,return_updated_at,technical_price_date,technical_close,volume,volume_ma20,volume_ratio_20d,ma5,ma20,ma60,ma120,rsi14,macd,macd_signal,macd_hist,recent_high_20d,recent_high_20d_date,recent_low_20d,recent_low_20d_date,distance_from_high_20d_pct,distance_from_low_20d_pct
20260914,MA,316140,우리금융지주,CONFIRMED,75,75,KOSPI,BOX_BREAKOUT,,36850.0,MAChartAnalyzer\results\20260914\scan_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-14 19:50:41,20260914,36750,4703605,3040453.3,1.547008,34680,33662.5,32170.833333,32260,67.736702,675.986249,492.665599,183.32065,36950,20260914,31000,20260821,-0.541272,18.548387
20260914,MA,105560,KB금융,STRONG_CONFIRMED,80,75,KOSPI,BOX_BREAKOUT,,181300.0,MAChartAnalyzer\results\20260914\scan_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-14 19:50:41,20260914,181200,1077062,1142995.5,0.942315,175640,170630,168956.666667,162398.333333,61.704169,2344.171411,1373.691204,970.480207,181700,20260914,159500,20260821,-0.275179,13.605016
20260914,DYNAMIC,088980,맥쿼리인프라,CONFIRMED,74.0,53.33,KOSPI,LONG_STAGE_2_ACTIVE,,9830.0,DynamicChartAnalyzer\results\20260914\scan_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-14 19:50:41,20260914,9830,934289,1079165.55,0.865751,9858,9804.5,10019.5,10610.083333,47.063164,-21.644234,-31.367066,9.722833,10090,20260914,9320,20260819,-2.576809,5.472103
20260914,DYNAMIC,089860,롯데렌탈,CONFIRMED,87.0,78.33,KOSPI,LONG_STAGE_3_ACTIVE,,49100.0,DynamicChartAnalyzer\results\20260914\scan_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-14 19:50:41,20260914,49100,42780,139451.65,0.306773,49160,48335,39799.166667,35800.833333,62.730737,2173.568133,2601.00469,-427.436557,53100,20260901,44000,20260818,-7.532957,11.590909
